taz,geog_name,district,lat_1,lon_1
496,King County,Seattle CBD,47.51978,-122.138064
497,King County,Seattle CBD,47.51978,-122.138064
498,King County,Seattle CBD,47.51978,-122.138064
499,King County,Seattle CBD,47.51978,-122.138064
500,King County,Seattle CBD,47.51978,-122.138064
501,King County,Seattle CBD,47.51978,-122.138064
502,King County,Seattle CBD,47.51978,-122.138064
503,King County,Seattle CBD,47.51978,-122.138064
504,King County,Seattle CBD,47.51978,-122.138064
505,King County,Seattle CBD,47.51978,-122.138064
506,King County,Seattle CBD,47.51978,-122.138064
507,King County,Seattle CBD,47.51978,-122.138064
508,King County,Seattle CBD,47.51978,-122.138064
509,King County,Seattle CBD,47.51978,-122.138064
510,King County,Seattle CBD,47.51978,-122.138064
511,King County,Seattle CBD,47.51978,-122.138064
512,King County,Seattle CBD,47.51978,-122.138064
513,King County,Seattle CBD,47.51978,-122.138064
514,King County,Seattle CBD,47.51978,-122.138064
515,King County,Seattle CBD,47.51978,-122.138064
516,King County,Seattle CBD,47.51978,-122.138064
517,King County,Seattle CBD,47.51978,-122.138064
518,King County,Seattle CBD,47.51978,-122.138064
519,King County,Seattle CBD,47.51978,-122.138064
520,King County,Seattle CBD,47.51978,-122.138064
521,King County,Seattle CBD,47.51978,-122.138064
522,King County,Seattle CBD,47.51978,-122.138064
