id,Operator,RouteNumber,Mode,Description,Code
362,1,MK166,b,MK166b,MK
363,1,MK167,b,MK167a,MK
364,1,MK168,b,MK168a,MK
365,1,MK168,b,MK168b,MK
366,1,MK169,b,MK169a,MK
367,1,MK169,b,MK169b,MK
368,1,MK173,b,MK173a,MK
369,1,MK174,b,MK174a,MK
370,1,MK174,b,MK174b,MK
371,1,MK174,b,MK174c,MK
372,1,MK174,b,MK174d,MK
373,1,MK174,b,MK174e,MK
374,1,MK175,b,MK175a,MK
375,1,MK177,b,MK177a,MK
376,1,MK179,b,MK179a,MK
377,1,MK180,b,MK180a,MK
378,1,MK180,b,MK180b,MK
379,1,MK180,b,MK180c,MK
380,1,MK181,b,MK181a,MK
381,1,MK181,b,MK181b,MK
382,1,MK182,b,MK182a,MK
383,1,MK182,b,MK182b,MK
384,1,MK183,b,MK183a,MK
385,1,MK183,b,MK183b,MK
386,1,MK187,b,MK187a,MK
387,1,MK187,b,MK187b,MK
388,1,MK190,b,MK190a,MK
389,1,MK192,b,MK192a,MK
390,1,MK192,b,MK192b,MK
391,1,MK196,b,MK196a,MK
392,1,MK197,b,MK197a,MK
393,1,MK200,b,MK200a,MK
394,1,MK200,b,MK200b,MK
395,1,MK200,b,MK200c,MK
396,1,MK201,b,MK201a,MK
397,1,MK202,b,MK202a,MK
398,1,MK202,b,MK202b,MK
399,1,MK202,b,MK202c,MK
400,1,MK203,b,MK203a,MK
401,1,MK203,b,MK203b,MK
402,1,MK203,b,MK203c,MK
403,1,MK203,b,MK203d,MK
404,1,MK203,b,MK203e,MK
405,1,MK204,b,MK204a,MK
406,1,MK204,b,MK204b,MK
407,1,MK205,b,MK205a,MK
408,1,MK205,b,MK205b,MK
409,1,MK206,b,MK206a,MK
410,1,MK207,b,MK207a,MK
411,1,MK208,b,MK208a,MK
412,1,MK209,b,MK209a,MK
413,1,MK209,b,MK209b,MK
414,1,MK209,b,MK209c,MK
415,1,MK210,b,MK210a,MK
416,1,MK211,b,MK211a,MK
417,1,MK212,b,MK212a,MK
418,1,MK212,b,MK212b,MK
419,1,MK212,b,MK212c,MK
420,1,MK214,b,MK214a,MK
421,1,MK215,b,MK215a,MK
422,1,MK216,b,MK216a,MK
423,1,MK217,b,MK217a,MK
424,1,MK218,b,MK218a,MK
425,1,MK219,b,MK219a,MK
426,1,MK219,b,MK219b,MK
427,1,MK219,b,MK219c,MK
428,1,MK221,b,MK221a,MK
429,1,MK221,b,MK221b,MK
430,1,MK222,b,MK222a,MK
431,1,MK222,b,MK222b,MK
432,1,MK225,b,MK225a,MK
433,1,MK225,b,MK225b,MK
434,1,MK229,b,MK229a,MK
435,1,MK230,b,MK230a,MK
436,1,MK230,b,MK230b,MK
437,1,MK230,b,MK230c,MK
438,1,MK230,b,MK230d,MK
439,1,MK230,b,MK230e,MK
440,1,MK230,b,MK230f,MK
441,1,MK230,b,MK230g,MK
442,1,MK232,b,MK232a,MK
443,1,MK232,b,MK232b,MK
444,1,MK232,b,MK232c,MK
445,1,MK233,b,MK233a,MK
446,1,MK233,b,MK233b,MK
447,1,MK234,b,MK234a,MK
